ACTIVITY DATE,OWNER ID,OWNER NAME,FACILITY ID,FACILITY NAME,RECORD ID,PROGRAM NAME,PROGRAM STATUS,PROGRAM ELEMENT (PE),PE DESCRIPTION,FACILITY ADDRESS,FACILITY CITY,FACILITY STATE,FACILITY ZIP,SERVICE CODE,SERVICE DESCRIPTION,SCORE,GRADE,SERIAL NUMBER,EMPLOYEE ID,Location,2011 Supervisorial District Boundaries (Official),Census Tracts 2010,Board Approved Statistical Areas,Zip Codes
10/11/2018,OW0240096,1000 GROUP LLC,FA0244950,ROTUNDA WEST - #101,PR0193301,ROTUNDA WEST - #101,ACTIVE,1631,RESTAURANT (0-30) SEATS MODERATE RISK,1000 WILSHIRE BLVD,LOS ANGELES,CA,90017,1,ROUTINE INSPECTION,92,A,DADGZMRGC,EE0001110,POINT (-118.260702 34.051046),1,709,343,23078
08/24/2017,OW0240096,1000 GROUP LLC,FA0244950,ROTUNDA WEST - #101,PR0193301,ROTUNDA WEST - #101,ACTIVE,1631,RESTAURANT (0-30) SEATS MODERATE RISK,1000 WILSHIRE BLVD,LOS ANGELES,CA,90017,1,ROUTINE INSPECTION,95,A,DAFGHPWVB,EE0001110,POINT (-118.260702 34.051046),1,709,343,23078
10/11/2018,OW0240096,1000 GROUP LLC,FA0244948,LOBBY CAFE BAR,PR0193300,LOBBY CAFE BAR,ACTIVE,1635,RESTAURANT (31-60) SEATS HIGH RISK,1000 WILSHIRE BLVD,LOS ANGELES,CA,90017,1,ROUTINE INSPECTION,99,A,DAIJIZOOX,EE0001110,POINT (-118.260702 34.051046),1,709,343,23078
04/06/2018,OW0240096,1000 GROUP LLC,FA0244948,LOBBY CAFE BAR,PR0193300,LOBBY CAFE BAR,ACTIVE,1635,RESTAURANT (31-60) SEATS HIGH RISK,1000 WILSHIRE BLVD,LOS ANGELES,CA,90017,1,ROUTINE INSPECTION,93,A,DAM33HEWD,EE0001110,POINT (-118.260702 34.051046),1,709,343,23078
02/19/2019,OW0240096,1000 GROUP LLC,FA0244948,LOBBY CAFE BAR,PR0193300,LOBBY CAFE BAR,ACTIVE,1635,RESTAURANT (31-60) SEATS HIGH RISK,1000 WILSHIRE BLVD,LOS ANGELES,CA,90017,1,ROUTINE INSPECTION,96,A,DAP2V0FCA,EE0001110,POINT (-118.260702 34.051046),1,709,343,23078
05/10/2017,OW0240096,1000 GROUP LLC,FA0244950,ROTUNDA WEST - #101,PR0193301,ROTUNDA WEST - #101,ACTIVE,1631,RESTAURANT (0-30) SEATS MODERATE RISK,1000 WILSHIRE BLVD,LOS ANGELES,CA,90017,1,ROUTINE INSPECTION,99,A,DARE5WKB6,EE0001110,POINT (-118.260702 34.051046),1,709,343,23078
08/24/2017,OW0240096,1000 GROUP LLC,FA0244948,LOBBY CAFE BAR,PR0193300,LOBBY CAFE BAR,ACTIVE,1635,RESTAURANT (31-60) SEATS HIGH RISK,1000 WILSHIRE BLVD,LOS ANGELES,CA,90017,1,ROUTINE INSPECTION,96,A,DAV3JNGYR,EE0001110,POINT (-118.260702 34.051046),1,709,343,23078
08/29/2018,OW0099614,1001 3RD ST. LLC,FA0136877,PALI HOUSE SM LOBBY COFFEE BAR,PR0120882,PALI HOUSE SM LOBBY COFFEE BAR,ACTIVE,1630,RESTAURANT (0-30) SEATS LOW RISK,1001 3RD ST,SANTA&#160;MONICA,CA,90403,1,ROUTINE INSPECTION,95,A,DA0V7DKYB,EE0001013,POINT (-118.502245 34.020907),3,382,93,25712
08/15/2017,OW0099612,1001 3RD ST. LLC,FA0136876,PALI HOUSE SM MAIN KITCHEN,PR0120881,PALI HOUSE SM MAIN KITCHEN,ACTIVE,1631,RESTAURANT (0-30) SEATS MODERATE RISK,1001 3RD ST,SANTA&#160;MONICA,CA,90403,1,ROUTINE INSPECTION,98,A,DAEQYCVKP,EE0001013,POINT (-118.502245 34.020907),3,382,93,25712
08/15/2017,OW0099614,1001 3RD ST. LLC,FA0136877,PALI HOUSE SM LOBBY COFFEE BAR,PR0120882,PALI HOUSE SM LOBBY COFFEE BAR,ACTIVE,1630,RESTAURANT (0-30) SEATS LOW RISK,1001 3RD ST,SANTA&#160;MONICA,CA,90403,1,ROUTINE INSPECTION,100,A,DAG1KVVSO,EE0001013,POINT (-118.502245 34.020907),3,382,93,25712
12/06/2018,OW0099612,1001 3RD ST. LLC,FA0136876,PALI HOUSE SM MAIN KITCHEN,PR0120881,PALI HOUSE SM MAIN KITCHEN,ACTIVE,1631,RESTAURANT (0-30) SEATS MODERATE RISK,1001 3RD ST,SANTA&#160;MONICA,CA,90403,1,ROUTINE INSPECTION,99,A,DAL3FAO8N,EE0001013,POINT (-118.502245 34.020907),3,382,93,25712
05/30/2017,OW0099612,1001 3RD ST. LLC,FA0136876,PALI HOUSE SM MAIN KITCHEN,PR0120881,PALI HOUSE SM MAIN KITCHEN,ACTIVE,1631,RESTAURANT (0-30) SEATS MODERATE RISK,1001 3RD ST,SANTA&#160;MONICA,CA,90403,1,ROUTINE INSPECTION,98,A,DAP6XDNP9,EE0001013,POINT (-118.502245 34.020907),3,382,93,25712
06/25/2018,OW0099612,1001 3RD ST. LLC,FA0136876,PALI HOUSE SM MAIN KITCHEN,PR0120881,PALI HOUSE SM MAIN KITCHEN,ACTIVE,1631,RESTAURANT (0-30) SEATS MODERATE RISK,1001 3RD ST,SANTA&#160;MONICA,CA,90403,1,ROUTINE INSPECTION,96,A,DASKSRZF1,EE0001013,POINT (-118.502245 34.020907),3,382,93,25712
08/24/2018,OW0254750,1001 ARTESIA,FA0263425,1001 ARTESIA,PR0214339,1001 ARTESIA,ACTIVE,1614,"FOOD MKT RETAIL (2,000+ SF) MODERATE RISK",1001 W ARTESIA BLVD,GARDENA,CA,90248,1,ROUTINE INSPECTION,96,A,DADVAA3RU,EE0001099,,,,,
02/25/2019,OW0254750,1001 ARTESIA,FA0263425,1001 ARTESIA,PR0214339,1001 ARTESIA,ACTIVE,1614,"FOOD MKT RETAIL (2,000+ SF) MODERATE RISK",1001 W ARTESIA BLVD,GARDENA,CA,90248,1,ROUTINE INSPECTION,98,A,DAZAV5FZQ,EE0001099,,,,,
11/01/2017,OW0245505,1004 ENTERPRISE INC.,FA0251581,YOGURTALK COFFEEWALK,PR0200742,YOGURTALK COFFEEWALK,ACTIVE,1631,RESTAURANT (0-30) SEATS MODERATE RISK,3650 W MARTIN LUTHER KING JR. BLVD # 152,LOS ANGELES,CA,90008,1,ROUTINE INSPECTION,92,A,DA3YIHMNI,EE0000176,POINT (-118.336343 34.011426),2,902,20,22725
04/05/2018,OW0245505,1004 ENTERPRISE INC.,FA0251581,YOGURTALK COFFEEWALK,PR0200742,YOGURTALK COFFEEWALK,ACTIVE,1631,RESTAURANT (0-30) SEATS MODERATE RISK,3650 W MARTIN LUTHER KING JR. BLVD # 152,LOS ANGELES,CA,90008,1,ROUTINE INSPECTION,96,A,DAE97Q0KP,EE0000176,POINT (-118.336343 34.011426),2,902,20,22725
03/19/2019,OW0245505,1004 ENTERPRISE INC.,FA0251581,YOGURTALK COFFEEWALK,PR0200742,YOGURTALK COFFEEWALK,ACTIVE,1631,RESTAURANT (0-30) SEATS MODERATE RISK,3650 W MARTIN LUTHER KING JR. BLVD # 152,LOS ANGELES,CA,90008,1,ROUTINE INSPECTION,90,A,DAEMH0W40,EE0000176,POINT (-118.336343 34.011426),2,902,20,22725
09/25/2018,OW0245505,1004 ENTERPRISE INC.,FA0251581,YOGURTALK COFFEEWALK,PR0200742,YOGURTALK COFFEEWALK,ACTIVE,1631,RESTAURANT (0-30) SEATS MODERATE RISK,3650 W MARTIN LUTHER KING JR. BLVD # 152,LOS ANGELES,CA,90008,1,ROUTINE INSPECTION,96,A,DAYAU9II7,EE0000176,POINT (-118.336343 34.011426),2,902,20,22725
04/06/2017,OW0099408,"100DG, INC.",FA0136750,SHANDONG DUMPLINGS,PR0119969,SHANDONG DUMPLINGS,ACTIVE,1632,RESTAURANT (0-30) SEATS HIGH RISK,227 W VALLEY BLVD 168A,SAN GABRIEL,CA,91776,1,ROUTINE INSPECTION,91,A,DA78UBSI2,EE0001124,POINT (-118.102666 34.07965),5,1768,38,10137
03/28/2018,OW0099408,"100DG, INC.",FA0136750,SHANDONG DUMPLINGS,PR0119969,SHANDONG DUMPLINGS,ACTIVE,1632,RESTAURANT (0-30) SEATS HIGH RISK,227 W VALLEY BLVD 168A,SAN GABRIEL,CA,91776,1,ROUTINE INSPECTION,94,A,DAD55RZB0,EE0001124,POINT (-118.102666 34.07965),5,1768,38,10137
01/04/2018,OW0099408,"100DG, INC.",FA0136750,SHANDONG DUMPLINGS,PR0119969,SHANDONG DUMPLINGS,ACTIVE,1632,RESTAURANT (0-30) SEATS HIGH RISK,227 W VALLEY BLVD 168A,SAN GABRIEL,CA,91776,1,ROUTINE INSPECTION,87,B,DAIS2L1N0,EE0001124,POINT (-118.102666 34.07965),5,1768,38,10137
08/08/2017,OW0099408,"100DG, INC.",FA0136750,SHANDONG DUMPLINGS,PR0119969,SHANDONG DUMPLINGS,ACTIVE,1632,RESTAURANT (0-30) SEATS HIGH RISK,227 W VALLEY BLVD 168A,SAN GABRIEL,CA,91776,1,ROUTINE INSPECTION,90,A,DAJJZB82I,EE0001124,POINT (-118.102666 34.07965),5,1768,38,10137
10/29/2018,OW0099408,"100DG, INC.",FA0136750,SHANDONG DUMPLINGS,PR0119969,SHANDONG DUMPLINGS,ACTIVE,1632,RESTAURANT (0-30) SEATS HIGH RISK,227 W VALLEY BLVD 168A,SAN GABRIEL,CA,91776,1,ROUTINE INSPECTION,93,A,DALKJLJNF,EE0001124,POINT (-118.102666 34.07965),5,1768,38,10137
07/09/2018,OW0099408,"100DG, INC.",FA0136750,SHANDONG DUMPLINGS,PR0119969,SHANDONG DUMPLINGS,ACTIVE,1632,RESTAURANT (0-30) SEATS HIGH RISK,227 W VALLEY BLVD 168A,SAN GABRIEL,CA,91776,1,ROUTINE INSPECTION,93,A,DAN1FSAY7,EE0001124,POINT (-118.102666 34.07965),5,1768,38,10137
11/03/2016,OW0099408,"100DG, INC.",FA0136750,SHANDONG DUMPLINGS,PR0119969,SHANDONG DUMPLINGS,ACTIVE,1632,RESTAURANT (0-30) SEATS HIGH RISK,227 W VALLEY BLVD 168A,SAN GABRIEL,CA,91776,1,ROUTINE INSPECTION,90,A,DAOJ9LGZC,EE0001124,POINT (-118.102666 34.07965),5,1768,38,10137
03/02/2018,OW0099408,"100DG, INC.",FA0136750,SHANDONG DUMPLINGS,PR0119969,SHANDONG DUMPLINGS,ACTIVE,1632,RESTAURANT (0-30) SEATS HIGH RISK,227 W VALLEY BLVD 168A,SAN GABRIEL,CA,91776,1,ROUTINE INSPECTION,86,B,DARELZTML,EE0001124,POINT (-118.102666 34.07965),5,1768,38,10137
09/07/2017,OW0229023,101 ASIAN KITCHEN INC,FA0224563,101 ASIAN KITCHEN INC,PR0179805,101 ASIAN KITCHEN INC,ACTIVE,1632,RESTAURANT (0-30) SEATS HIGH RISK,7170 BEVERLY BLVD,LOS ANGELES,CA,90036,1,ROUTINE INSPECTION,92,A,DA9VDOQDT,EE0000828,POINT (-118.345721 34.076157),3,1492,387,23667
04/21/2017,OW0229023,101 ASIAN KITCHEN INC,FA0224563,101 ASIAN KITCHEN INC,PR0179805,101 ASIAN KITCHEN INC,ACTIVE,1632,RESTAURANT (0-30) SEATS HIGH RISK,7170 BEVERLY BLVD,LOS ANGELES,CA,90036,1,ROUTINE INSPECTION,94,A,DABPUAE4W,EE0000828,POINT (-118.345721 34.076157),3,1492,387,23667
04/04/2018,OW0229023,101 ASIAN KITCHEN INC,FA0224563,101 ASIAN KITCHEN INC,PR0179805,101 ASIAN KITCHEN INC,ACTIVE,1632,RESTAURANT (0-30) SEATS HIGH RISK,7170 BEVERLY BLVD,LOS ANGELES,CA,90036,1,ROUTINE INSPECTION,90,A,DACLPWX1S,EE0000828,POINT (-118.345721 34.076157),3,1492,387,23667
01/31/2017,OW0229023,101 ASIAN KITCHEN INC,FA0224563,101 ASIAN KITCHEN INC,PR0179805,101 ASIAN KITCHEN INC,ACTIVE,1632,RESTAURANT (0-30) SEATS HIGH RISK,7170 BEVERLY BLVD,LOS ANGELES,CA,90036,1,ROUTINE INSPECTION,90,A,DATQ7KNKC,EE0000828,POINT (-118.345721 34.076157),3,1492,387,23667
08/22/2018,OW0229023,101 ASIAN KITCHEN INC,FA0224563,101 ASIAN KITCHEN INC,PR0179805,101 ASIAN KITCHEN INC,ACTIVE,1632,RESTAURANT (0-30) SEATS HIGH RISK,7170 BEVERLY BLVD,LOS ANGELES,CA,90036,1,ROUTINE INSPECTION,93,A,DAXXWDK0F,EE0000828,POINT (-118.345721 34.076157),3,1492,387,23667
09/07/2016,OW0229023,101 ASIAN KITCHEN INC,FA0224563,101 ASIAN KITCHEN INC,PR0179805,101 ASIAN KITCHEN INC,ACTIVE,1632,RESTAURANT (0-30) SEATS HIGH RISK,7170 BEVERLY BLVD,LOS ANGELES,CA,90036,1,ROUTINE INSPECTION,90,A,DAYYCSAJ1,EE0000828,POINT (-118.345721 34.076157),3,1492,387,23667
01/16/2019,OW0229023,101 ASIAN KITCHEN INC,FA0224563,101 ASIAN KITCHEN INC,PR0179805,101 ASIAN KITCHEN INC,ACTIVE,1632,RESTAURANT (0-30) SEATS HIGH RISK,7170 BEVERLY BLVD,LOS ANGELES,CA,90036,1,ROUTINE INSPECTION,90,A,DAZMXHKOL,EE0000828,POINT (-118.345721 34.076157),3,1492,387,23667
07/24/2017,OW0000027,101 CAFE INC.,FA0056451,101 CAFE,PR0023419,101 CAFE,ACTIVE,1638,RESTAURANT (61-150) SEATS HIGH RISK,2763 S DIAMOND BAR BLVD,DIAMOND BAR,CA,91765,1,ROUTINE INSPECTION,97,A,DA89W0Q24,EE0000742,POINT (-117.837171 33.974781),4,2238,302,9741
01/23/2019,OW0000027,101 CAFE INC.,FA0056451,101 CAFE,PR0023419,101 CAFE,ACTIVE,1638,RESTAURANT (61-150) SEATS HIGH RISK,2763 S DIAMOND BAR BLVD,DIAMOND BAR,CA,91765,1,ROUTINE INSPECTION,90,A,DAHTNTYAT,EE0000742,POINT (-117.837171 33.974781),4,2238,302,9741
03/14/2017,OW0000027,101 CAFE INC.,FA0056451,101 CAFE,PR0023419,101 CAFE,ACTIVE,1638,RESTAURANT (61-150) SEATS HIGH RISK,2763 S DIAMOND BAR BLVD,DIAMOND BAR,CA,91765,401,OWNER INITIATED ROUTINE INSPECT.,94,A,DAINZ4K00,EE0000742,POINT (-117.837171 33.974781),4,2238,302,9741
08/29/2018,OW0000027,101 CAFE INC.,FA0056451,101 CAFE,PR0023419,101 CAFE,ACTIVE,1638,RESTAURANT (61-150) SEATS HIGH RISK,2763 S DIAMOND BAR BLVD,DIAMOND BAR,CA,91765,1,ROUTINE INSPECTION,92,A,DAJKYQTMG,EE0000742,POINT (-117.837171 33.974781),4,2238,302,9741
03/08/2017,OW0000027,101 CAFE INC.,FA0056451,101 CAFE,PR0023419,101 CAFE,ACTIVE,1638,RESTAURANT (61-150) SEATS HIGH RISK,2763 S DIAMOND BAR BLVD,DIAMOND BAR,CA,91765,1,ROUTINE INSPECTION,84,B,DAMXKWZCP,EE0000742,POINT (-117.837171 33.974781),4,2238,302,9741
04/10/2018,OW0000027,101 CAFE INC.,FA0056451,101 CAFE,PR0023419,101 CAFE,ACTIVE,1638,RESTAURANT (61-150) SEATS HIGH RISK,2763 S DIAMOND BAR BLVD,DIAMOND BAR,CA,91765,1,ROUTINE INSPECTION,91,A,DAZZW1ZC2,EE0000742,POINT (-117.837171 33.974781),4,2238,302,9741
09/21/2016,OW0000028,101 GINSENG INC,FA0002829,101 GINSENG UNC,PR0018827,101 GINSENG UNC,INACTIVE,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",101 E GARVEY AVE,MONTEREY PARK,CA,91755,1,ROUTINE INSPECTION,96,A,DAL0V7YQG,EE0000821,POINT (-118.12242 34.062576),1,1842,75,9730
04/24/2018,OW0000028,101 GINSENG INC,FA0002829,101 GINSENG UNC,PR0018827,101 GINSENG UNC,INACTIVE,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",101 E GARVEY AVE,MONTEREY PARK,CA,91755,1,ROUTINE INSPECTION,96,A,DAVNFSP1V,EE0000821,POINT (-118.12242 34.062576),1,1842,75,9730
01/19/2017,OW0000029,101 N VICTORY SUBWAY INC,FA0034749,SUBWAY #868,PR0038154,SUBWAY #868,ACTIVE,1631,RESTAURANT (0-30) SEATS MODERATE RISK,101 N VICTORY BLVD STE #N,BURBANK,CA,91502,1,ROUTINE INSPECTION,99,A,DA0T00ZSY,EE0000250,POINT (-118.316576 34.173683),5,1629,295,20146
06/25/2018,OW0000029,101 N VICTORY SUBWAY INC,FA0034749,SUBWAY #868,PR0038154,SUBWAY #868,ACTIVE,1631,RESTAURANT (0-30) SEATS MODERATE RISK,101 N VICTORY BLVD STE #N,BURBANK,CA,91502,1,ROUTINE INSPECTION,98,A,DAF0FZ6JS,EE0000250,POINT (-118.316576 34.173683),5,1629,295,20146
